8							
23	4	0.012	100	50	0.05	28	0
2	15	0.003	101	57	0.045	77	0
1	2	0.012	102	50	0.05	54	0
5	2	0.003	103	57	0.045	24	0
10	4	0.006	104	29	0.03	85	0
19	14	0.024	105	35	0.1	63	0
25	14	0.012	106	50	0.05	28	0
22	15	0.003	107	57	0.045	87	0
13	12	0.012	108	50	0.05	44	0
25	2	0.003	109	57	0.045	54	0
20	17	0.006	110	29	0.03	85	0
29	16	0.024	111	35	0.1	63	0
15	2	0.003	112	57	0.045	44	0
1	4	0.006	113	29	0.03	85	0
19	20	0.024	114	35	0.1	63	0
2	4	0.012	115	50	0.05	28	0
20	11	0.003	116	57	0.045	66	0
3	12	0.012	117	50	0.05	64	0
5	2	0.003	118	57	0.045	74	0
20	8	0.006	119	29	0.03	85	0
