8							
23	4	0.0749	100	50	0.05	0.028	0
2	15	0.1499	101	57	0.045	0.077	0
1	2	0.14	102	50	0.05	0.054	0
5	2	0.2559	103	57	0.045	0.024	0
10	4	0.1304	104	29	0.03	0.085	0
19	14	0.1987	105	35	0.1	0.063	0
25	14	0.1997	106	50	0.05	28	0
22	15	0.2185	107	57	0.045	87	0
13	12	0.202	108	50	0.05	0.44	0
25	2	0.1923	109	57	0.045	0.54	0
20	17	0.1292	110	29	0.03	0.85	0
29	16	0.068	111	35	0.1	6.3	0
15	2	0.0236	112	57	0.045	4.4	0
1	4	0.179	113	29	0.03	8.5	0
19	20	0.27	114	35	0.1	6.3	0
2	4	0.3292	115	50	0.05	0.028	0
20	11	0.38	116	57	0.045	0.066	0
3	12	0.2087	117	50	0.05	0.0064	0
5	2	0.396	118	57	0.045	0.074	0
20	8	0.4153	119	29	0.03	0.85	0
