5				
2	-21.7	-10.85	-16.275	-5.425
3	-2.4	-1.2	-1.8	-0.6
4	-7.6	-3.8	-5.7	-1.9
7	-22.8	-11.4	-17.1	-5.7
8	-30	-15	-22.5	-7.5
10	-5.8	-2.9	-4.35	-1.45
12	-11.2	-5.6	-8.4	-2.8
14	-6.2	-3.1	-4.65	-1.55
15	-8.2	-4.1	-6.15	-2.05
16	-3.5	-1.75	-2.625	-0.875
17	-9	-4.5	-6.75	-2.25
18	-3.2	-1.6	-2.4	-0.8
19	-9.5	-4.75	-7.125	-2.375
20	-2.2	-1.1	-1.65	-0.55
21	-17.5	-8.75	-13.125	-4.375
23	-3.2	-1.6	-2.4	-0.8
24	-8.7	-4.35	-6.525	-2.175
26	-3.5	-1.75	-2.625	-0.875
29	-2.4	-1.2	-1.8	-0.6
30	-10.6	-5.3	-7.95	-2.65
