5				
2	-31	-15.5	-23.25	-7.75
3	-3.4285714286	-1.7142857143	-2.5714285714	-0.8571428571
4	-10.8571428571	-5.4285714286	-8.1428571429	-2.7142857143
7	-32.5714285714	-16.2857142857	-24.4285714286	-8.1428571429
8	-42.8571428571	-21.4285714286	-32.1428571429	-10.7142857143
10	-8.2857142857	-4.1428571429	-6.2142857143	-2.0714285714
12	-16	-8	-12	-4
14	-8.8571428571	-4.4285714286	-6.6428571429	-2.2142857143
15	-11.7142857143	-5.8571428571	-8.7857142857	-2.9285714286
16	-5	-2.5	-3.75	-1.25
17	-12.8571428571	-6.4285714286	-9.6428571429	-3.2142857143
18	-4.5714285714	-2.2857142857	-3.4285714286	-1.1428571429
19	-13.5714285714	-6.7857142857	-10.1785714286	-3.3928571429
20	-3.1428571429	-1.5714285714	-2.3571428571	-0.7857142857
21	-25	-12.5	-18.75	-6.25
23	-4.5714285714	-2.2857142857	-3.4285714286	-1.1428571429
24	-12.4285714286	-6.2142857143	-9.3214285714	-3.1071428571
26	-5	-2.5	-3.75	-1.25
29	-3.4285714286	-1.7142857143	-2.5714285714	-0.8571428571
30	-15.1428571429	-7.5714285714	-11.3571428571	-3.7857142857
