4			
1	2	0.0575	100
1	3	0.1652	100
2	4	0.1737	100
2	5	0.1983	100
2	6	0.1763	100
3	4	0.0379	100
4	6	0.0414	100
4	12	0.256	100
5	7	0.116	100
6	7	0.082	100
6	8	0.042	100
6	9	0.208	100
6	10	0.556	100
6	28	0.0599	100
8	28	0.2	100
9	10	0.11	100
9	11	0.208	100
10	17	0.0845	100
10	20	0.209	100
10	21	0.0749	100
10	22	0.1499	100
12	13	0.14	100
12	14	0.2559	100
12	15	0.1304	100
12	16	0.1987	100
14	15	0.1997	100
15	18	0.2185	100
15	23	0.202	100
16	17	0.1923	100
18	19	0.1292	100
19	20	0.068	100
21	22	0.0236	100
22	24	0.179	100
23	24	0.27	100
24	25	0.3292	100
25	26	0.38	100
25	27	0.2087	100
28	27	0.396	100
27	29	0.4153	100
27	30	0.6027	100
29	30	0.4533	100
