8							
23	4	0.012	100	50	5	0.00028	0
2	15	0.003	101	57	4.5	0.00007	0
1	2	0.012	102	50	5	0.0004	0
5	2	0.003	103	57	4.5	0.00004	0
10	4	0.006	104	29	3	0.000085045	1
19	14	0.024	105	35	10	0.000006387	1
25	14	0.012	106	50	5	0.00028	0
22	15	0.003	107	57	4.5	0.00007	0
13	12	0.012	108	50	5	0.0004	0
25	2	0.003	109	57	4.5	0.00004	0
20	17	0.006	110	29	3	0.000085045	1
29	16	0.024	111	35	10	0.000006387	1
15	2	0.003	112	57	4.5	0.00004	0
1	4	0.006	113	29	3	0.000085045	1
19	20	0.024	114	35	10	0.000006387	1
2	4	0.012	115	50	5	0.00028	0
20	11	0.003	116	57	4.5	0.00007	0
3	12	0.012	117	50	5	0.0004	0
5	2	0.003	118	57	4.5	0.00004	0
20	8	0.006	119	29	3	0.000085045	1
